phantom,thickness,kvp_pair,noise_level,radius,pair_index,rmse_rel_rho,rmse_rel_z,selected_file,n_materials
Body-Abdomen,0.6,70-100,0.1,0.5,8,0.1494102472105149,0.20823978271418897,results/Saito/Saito-Body-0.6/saito_comparison_0.5_2025_08_08-12_43_37.json,9
Body-Abdomen,0.6,70-120,0.1,0.5,8,0.09577302324825746,0.20823978291186862,results/Saito/Saito-Body-0.6/saito_comparison_0.5_2025_08_08-12_43_37.json,9
Body-Abdomen,0.6,70-140,0.1,0.5,9,0.04202957013905572,0.20823977722661802,results/Saito/Saito-Body-0.6/saito_comparison_0.5_2025_08_08-12_43_37.json,9
Body-Abdomen,0.6,80-100,0.1,0.5,8,0.15743082246753176,0.2082397821660076,results/Saito/Saito-Body-0.6/saito_comparison_0.5_2025_08_08-12_43_37.json,9
Body-Abdomen,0.6,80-120,0.1,0.5,8,0.04623676288707363,0.2082397759682912,results/Saito/Saito-Body-0.6/saito_comparison_0.5_2025_08_08-12_43_37.json,9
Body-Abdomen,0.6,80-140,0.1,0.5,6,0.05897823594501911,0.20823977694513393,results/Saito/Saito-Body-0.6/saito_comparison_0.5_2025_08_08-12_43_37.json,9
Body-Abdomen,0.6,70-100,0.01,0.75,1,0.13723589536632136,0.20823978518893307,results/Saito/Saito-Body-0.6/saito_comparison_0.75_2025_08_08-13_25_16.json,9
Body-Abdomen,0.6,70-120,0.01,0.75,9,0.07637675203654477,0.20823978126394815,results/Saito/Saito-Body-0.6/saito_comparison_0.75_2025_08_08-13_25_16.json,9
Body-Abdomen,0.6,70-140,0.01,0.75,9,0.03638218045354295,0.20823978018404546,results/Saito/Saito-Body-0.6/saito_comparison_0.75_2025_08_08-13_25_16.json,9
Body-Abdomen,0.6,80-100,0.01,0.75,6,0.12468377688113212,0.20823978551688002,results/Saito/Saito-Body-0.6/saito_comparison_0.75_2025_08_08-13_25_16.json,9
Body-Abdomen,0.6,80-120,0.01,0.75,9,0.0524000084050349,0.2082397810709534,results/Saito/Saito-Body-0.6/saito_comparison_0.75_2025_08_08-13_25_16.json,9
Body-Abdomen,0.6,80-140,0.01,0.75,9,0.017820881779456847,0.20823978008618602,results/Saito/Saito-Body-0.6/saito_comparison_0.75_2025_08_08-13_25_16.json,9
Body-Abdomen,0.6,70-100,0.05,0.75,6,0.11408222216923734,0.2082397796824853,results/Saito/Saito-Body-0.6/saito_comparison_0.75_2025_08_08-13_25_16.json,9
Body-Abdomen,0.6,70-120,0.05,0.75,6,0.05253375976692635,0.20823977820051703,results/Saito/Saito-Body-0.6/saito_comparison_0.75_2025_08_08-13_25_16.json,9
Body-Abdomen,0.6,70-140,0.05,0.75,6,0.03140244506650352,0.20823977607278504,results/Saito/Saito-Body-0.6/saito_comparison_0.75_2025_08_08-13_25_16.json,9
Body-Abdomen,0.6,80-100,0.05,0.75,0,0.1228567490907579,0.20823978376317295,results/Saito/Saito-Body-0.6/saito_comparison_0.75_2025_08_08-13_25_16.json,9
Body-Abdomen,0.6,80-120,0.05,0.75,9,0.06174655132847696,0.20823977968409624,results/Saito/Saito-Body-0.6/saito_comparison_0.75_2025_08_08-13_25_16.json,9
Body-Abdomen,0.6,80-140,0.05,0.75,7,0.024312311138979515,0.2082397775853891,results/Saito/Saito-Body-0.6/saito_comparison_0.75_2025_08_08-13_25_16.json,9
Body-Abdomen,0.6,70-100,0.1,0.75,8,0.1375464339907905,0.2082397812075919,results/Saito/Saito-Body-0.6/saito_comparison_0.75_2025_08_08-13_25_16.json,9
Body-Abdomen,0.6,70-120,0.1,0.75,0,0.09266817914409888,0.2082397835624636,results/Saito/Saito-Body-0.6/saito_comparison_0.75_2025_08_08-13_25_16.json,9
Body-Abdomen,0.6,70-140,0.1,0.75,6,0.06664646255197906,0.20823977799741525,results/Saito/Saito-Body-0.6/saito_comparison_0.75_2025_08_08-13_25_16.json,9
Body-Abdomen,0.6,80-100,0.1,0.75,8,0.12728263370023768,0.20823978094115095,results/Saito/Saito-Body-0.6/saito_comparison_0.75_2025_08_08-13_25_16.json,9
Body-Abdomen,0.6,80-120,0.1,0.75,0,0.0762466362544134,0.20823978399122225,results/Saito/Saito-Body-0.6/saito_comparison_0.75_2025_08_08-13_25_16.json,9
Body-Abdomen,0.6,80-140,0.1,0.75,6,0.0683846485883659,0.20823977736002972,results/Saito/Saito-Body-0.6/saito_comparison_0.75_2025_08_08-13_25_16.json,9
Body-Abdomen,0.6,70-100,0.01,1.0,6,0.1654456081401537,0.20823978456830777,results/Saito/Saito-Body-0.6/saito_comparison_1_2025_08_08-13_44_43.json,9
Body-Abdomen,0.6,70-120,0.01,1.0,9,0.07268400132693056,0.2082397783417149,results/Saito/Saito-Body-0.6/saito_comparison_1_2025_08_08-13_44_43.json,9
Body-Abdomen,0.6,70-140,0.01,1.0,9,0.044471767038520876,0.2082397776542353,results/Saito/Saito-Body-0.6/saito_comparison_1_2025_08_08-13_44_43.json,9
Body-Abdomen,0.6,80-100,0.01,1.0,5,0.15746952332208752,0.20823978186856748,results/Saito/Saito-Body-0.6/saito_comparison_1_2025_08_08-13_44_43.json,9
Body-Abdomen,0.6,80-120,0.01,1.0,9,0.08056939003072444,0.20823978051125158,results/Saito/Saito-Body-0.6/saito_comparison_1_2025_08_08-13_44_43.json,9
Body-Abdomen,0.6,80-140,0.01,1.0,5,0.0357475464636269,0.2082397779647331,results/Saito/Saito-Body-0.6/saito_comparison_1_2025_08_08-13_44_43.json,9
Body-Abdomen,0.6,70-100,0.05,1.0,8,0.16636792126510794,0.20823978374837515,results/Saito/Saito-Body-0.6/saito_comparison_1_2025_08_08-13_44_43.json,9
Body-Abdomen,0.6,70-120,0.05,1.0,8,0.06443489986095223,0.20823977998791157,results/Saito/Saito-Body-0.6/saito_comparison_1_2025_08_08-13_44_43.json,9
Body-Abdomen,0.6,70-140,0.05,1.0,5,0.0433831558941541,0.20823977349282102,results/Saito/Saito-Body-0.6/saito_comparison_1_2025_08_08-13_44_43.json,9
Body-Abdomen,0.6,80-100,0.05,1.0,2,0.16985577781258598,0.20823978342743976,results/Saito/Saito-Body-0.6/saito_comparison_1_2025_08_08-13_44_43.json,9
Body-Abdomen,0.6,80-120,0.05,1.0,9,0.06430222317031492,0.20823978051077793,results/Saito/Saito-Body-0.6/saito_comparison_1_2025_08_08-13_44_43.json,9
Body-Abdomen,0.6,80-140,0.05,1.0,7,0.03193986142032572,0.2082397769442376,results/Saito/Saito-Body-0.6/saito_comparison_1_2025_08_08-13_44_43.json,9
Body-Abdomen,0.6,70-100,0.1,1.0,8,0.16938649036700898,0.20823978160702497,results/Saito/Saito-Body-0.6/saito_comparison_1_2025_08_08-13_44_43.json,9
Body-Abdomen,0.6,70-120,0.1,1.0,7,0.0769464683486015,0.208239780436406,results/Saito/Saito-Body-0.6/saito_comparison_1_2025_08_08-13_44_43.json,9
